Loop Gain dB20 (r_load=12000) X,Loop Gain dB20 (r_load=12000) Y
392698.647887478,11.29590661000111
401754.1726172817,11.09061564200504
411018.5153009368,10.8850006322438
420496.4912240453,10.6790478485105
430193.0267113946,10.47274304131534
440113.1616874905,10.26607143031031
450262.0522961363,10.05901769092485
460644.9735804187,9.851565941281669
471267.3222244927,9.643699729468254
482134.6193585919,9.435402021246226
493252.5134287218,9.226655188287555
504626.7831325264,9.017440997033667
516263.3404228567,8.807740598281008
528168.2335805988,8.597534517604036
540347.6503583625,8.386802646734367
552807.9211966606,8.175524236022611
565555.5225142544,7.963677888117376
578597.0800743719,7.751241553003628
591939.3724285512,7.538192524550458
605589.3344398977,7.324507438725906
619554.0608875863,7.110162273643617
633840.8101544832,6.8951323516134
648457.0079998024,6.679392343373616
663410.2514187592,6.462916274689622
678708.3125912265,6.245677535507088
694359.1429214451,6.02764889185318
710370.8771708894,5.808802500681556
726751.837686436,5.589109927858526
743510.5387260319,5.368542169488099
760655.6908841123,5.147069676771887
778196.2056190666,4.924662384596556
796141.1998851076,4.701289744036016
814500.0008709488,4.476920758947524
833282.1508477558,4.251524026831152
852497.4121288896,4.025067784108682
872155.7721440195,3.797519955962596
892267.4486302451,3.56884821085714
912842.8949429229,3.339020019841528
933892.8054889601,3.108002720710663
955428.1212853979,2.875763587070304
977460.0356461747,2.642269902322228
1000000.000000024,2.407489038550377
1023059.729842533,2.171388540250773
1046651.210825452,1.933936212807587
1070786.704986422,1.695100215573521
1095478.757122359,1.45484915936698
1120740.201309807,1.213152208149819
1146584.16757565,0.9699791845995088
1173024.088721642,0.7253006792380197
1200073.707306318,0.4790881627278936
1227747.082787899,0.2313141008935348
1256058.598831916,-0.01804792802556161
1285022.97078734,-0.2690231144331244
1314655.253335114,-0.5216352973376484
1344970.848313056,-0.7759068438539016
1375985.512721205,-1.031858528922356
1407715.366911762,-1.289509415961919
1440176.902967895,-1.548876739202166
1473386.993275755,-1.809975788467527
1507362.89929416,-2.072819797204179
1542122.280526504,-2.337419834552372
1577683.203699558,-2.603784702270342
1614064.152153934,-2.871920837311963
1651284.035451081,-3.141832220847367
1689362.19920183,-3.413520294495052
1728318.435121571,-3.6869838845041
1768172.991317301,-3.962219134588337
1808946.582811899,-4.239219448068535
1850660.40231107,-4.517975439926968
1893336.131218592,-4.798474899319848
1936995.950905553,-5.080702763029096
1981662.554239468,-5.364641100266111
2027359.157379246,-5.650269109168168
2074109.511842147,-5.937563125253231
2121937.916849004,-6.226496642023315
2170869.231954118,-6.517040343830481
2220928.889966394,-6.809162151044916
2272142.910168441,-7.102827277491805
2324537.911840497,-7.397998300054428
2378141.128096208,-7.694635240275708
2432980.420037465,-7.992695657729994
2489084.291235642,-8.29213475488233
2546481.902546768,-8.592905493103647
2605203.087268334,-8.894958719467882
2665278.366645611,-9.198243303921338
2726738.965735541,-9.50270628638477
2789616.829636444,-9.808293033325473
2853944.640091976,-10.11494740331891
2919755.832477972,-10.42261192110678
2987084.613181003,-10.73122795965066
3055965.977377671,-11.04073592967556
3126435.727223898,-11.35107547619631
3198530.490463648,-11.66218568151998
3272287.739466767,-11.97400527421792
3347745.810705824,-12.28647284356219
3424943.92468209,-12.59952705892043
3503922.206311,-12.91310689360015
3584721.705777698,-13.22715185262785
3667384.419873509,-13.54160220393857
3751953.313824417,-13.85639921243661
3838472.343622913,-14.17148537636908
3926986.478874798,-14.48680466542814
4017541.726172835,-14.8023027599669
4110185.153009386,-15.11792729067633
4204964.912240472,-15.43362807802744
4301930.267113965,-15.74935737073376
4401131.616874924,-16.0650700824343
4502620.522961383,-16.38072402573804
4606449.735804207,-16.69628014270734
4712673.222244947,-17.01170273079044
4821346.19358594,-17.32695966314454
4932525.134287239,-17.64202260222088
5046267.831325286,-17.95686720541327
5162633.404228589,-18.27147332150411
5281682.33580601,-18.58582517657732
5403476.503583646,-18.89991154800877
5528079.211966628,-19.21372592509257
5655555.225142566,-19.52726665481862
5785970.800743742,-19.84053707128476
5919393.724285536,-20.15354560720793
6055893.344399001,-20.46630588599492
6195540.608875887,-20.77883679284652
6338408.101544857,-21.09116252340215
6484570.079998049,-21.40331260848595
6634102.514187618,-21.7153219135935
6787083.125912292,-22.02723061186017
6943591.429214478,-22.33908412938329
7103708.771708922,-22.65093306192668
7267518.376864389,-22.96283306222352
7435105.387260348,-23.27484469730976
7606556.908841152,-23.58703327556555
7781962.056190696,-23.8994686434169
7961411.998851106,-24.21222495195064
8145000.008709518,-24.52538039402292
8332821.50847759,-24.83901691278783
8524974.121288927,-25.15321988293952
8721557.721440228,-25.46807776633624
8922674.486302484,-25.78368174405984
9128428.949429262,-26.10012532734278
9338928.054889636,-26.41750395016846
9554281.212854015,-26.73591454670259
9774600.356461784,-27.05545511703913
10000000.00000028,-27.37622428503098
10230597.29842537,-27.69832085221836
10466512.10825456,-28.02184335205079
10707867.04986426,-28.3468896087205
10954787.57122363,-28.67355630497119
11207402.01309811,-29.00193856322272
11465841.67575654,-29.33212954423506
11730240.88721646,-29.66422006734943
12000737.07306322,-29.99829825606653
12277470.82787904,-30.334449212368
12560585.98831921,-30.67275472276188
12850229.70787345,-31.01329299854165
13146552.53335119,-31.35613845220056
13449708.48313062,-31.70136151135495
13759855.1272121,-32.04902847091211
14077153.66911767,-32.39920138358877
14401769.029679,-32.75193798825087
14733869.93275761,-33.10729167493538
15073628.99294166,-33.46531148482943
15421222.8052651,-33.82604214293976
15776832.03699564,-34.18952412070514
16140641.5215394,-34.55579372537987
16512840.35451087,-34.92488321267598
16893621.99201836,-35.29682091887813
17283184.35121577,-35.6716314084586
17681729.91317308,-36.04933563311603
18089465.82811905,-36.42995109813248
18506604.02311077,-36.81349203199055
18933361.31218598,-37.19996955531516
19369959.5090556,-37.58939184538902
19816625.54239475,-37.98176429273017
20273591.57379253,-38.37708964651686
20741095.11842154,-38.77536814597322
21219379.16849012,-39.17659763521399
21708692.31954126,-39.58077365942519
22209288.89966402,-39.98788954070825
22721429.1016845,-40.39793643233527
23245379.11840505,-40.81090335064219
23781411.28096216,-41.22677718425381
24329804.20037473,-41.64554268082562
24890842.91235651,-42.0671824120068
25464819.02546777,-42.49167671784092
26052030.87268343,-42.91900363239328
26652783.6664562,-43.34913879295583
27267389.65735551,-43.78205533582789
27896168.29636454,-44.21772378231198
28539446.40091986,-44.65611191931193
29197558.32477982,-45.0971846796826
29870846.13181013,-45.54090402836752
30559659.77377682,-45.98722886128854
31264357.27223909,-46.43611492501108
31985304.90463659,-46.88751476632864
32722877.39466778,-47.34137772218954
